Interaction Title	Requirement Flags ([] or [])	Probability weight	Characters (list all involved, any order, separated by comma)	Dialogue ([name] "spoken *action*" (speed 1-5 with 1 being slowest))
Arg mad at 'shrooms	[fedMushroomPrior] [curedPrior]	0.75	Arg, Kall	[Arg] "Did you sleep at all last night? *sit* I couldn't sleep a fuckin' wink." (3) [Kall] "Not less than usual." (2) [Arg] "I bet it was those mushrooms that hermit made us eat last night... I knew they looked funny." (4) [Arg] "What was he doin' picking those up last night anyways?" (4) [Kall] "hm." (2) [Arg]  "I bet they were poisonous.  If I end up dyin' tonight, you know whose fault it is." (3) [Kall] "What happens, happens..." (2)
Lura reading the signs	[isMorning]	0.4	Snäll, Lura	[Lura] "Hey, I got some great news!  I read the signs last night, and today's travels should be safe!" (4) [Snäll] "Well that's good to hear! What were the signs this time?" (3) [Lura] "I saw a raven flying away from the graves we made last night," (3) [Lura] "so their souls should be protecting us today!" (4) [Snäll] "I'm sure Tyst will appreciate the help." (3) [Lura] "What do you think's on the other side of the forest?" (3) [Snäll] "..." (2) [Lura] "... I asked Kall and all they said was somewhere else." (3) [Snäll] "*chuckles* Somewhere better than here, I trust Tyst." (2) [Lura] "It will be." (3)
Snäll and Kall talking about the attack		2	Snäll, Kall	[Snäll] "...Hey." (2) [Kall] "..." (2) [Snäll] "Been a while since we last talked." (3) [Kall] "Yeah." (1) [Snäll] "Before it all happened, I think." (3) [Kall] "The rain of silent death." (2) [Snäll] "How've you been taking it?" (3) [Kall] "Dunno...  How about you? You lost some pretty important things back there." (2) [Snäll] "..." (2) [Kall] "Like that music box you kept insisting on playing.  Couldn't stand that as a kid." (3) [Snäll] "*chuckles* You saying you like it now?" (4) [Kall] "..." (1) [Kall] "No.  But at least it'd be something." (2)
Snäll and Arg in rain	[isRaining]	0.6	Snäll, Arg	[Snäll] "It's a nice day today." (3) [Arg] "What're you talkin' about?  It's raining." (3) [Snäll]  "I love sitting inside with a nice hot drink watching the rain calmly fall from above." (3) [Snäll] "It lets me think." (2) [Arg] "I can't fuckin' stand it. You can relax to the constant tapping of rain?" (3) [Arg] "The unending noise digs into my brain." (4) [Snäll] "I can understand that." (3) [Arg] "All it does is remind me of the reason why we're out in the rain in the first place." (3) [Snäll] "I've accepted what happened by now, it's not like we can do anything about it anymore..." (3) [Arg] "and you're OK with that?  You're just gonna let it slide?" (5) [Arg] "Are you forgiving them?" (5) [Snäll] "Of course not.  I just don't want to brood over things I can't change." (4) [Arg] "hmph.  You're starting to sound like the quiet one over there." (3) [Snäll] "I'll take that as a compliment." (2)
Lura greeting Kall		0.15	Kall, Lura	[Lura] "Hey, Kall!  How've you been?" (4) [Kall] "I've been worse." (2) [Kall] "..." (2) [Lura] "..." (2) [Lura] "You're supposed to ask me that question now." (4) [Kall] "Why?" (2) [Lura] "'Cause it's polite!" (4) [Kall] "...Fine.  How are you doing." (1) [Lura] "I'm doing ok, thanks for asking!" (3) [Kall] "..." (1) [Lura] "..." (1)
Arg and Lura talk about rocks		0.15	Arg, Lura	[Arg] "Stubbed my foot again today." (4) [Arg] "When is the hermit gonna clean up this place?  It's littered with rocks." (3) [Lura] "Oh that's not good!  I'll clean those up today, stones could be a bad omen anyways." (4) [Arg]  "Again with your fuckin' omens!" (4) [Arg] "Did your "omens" warn you about that silent nightmare that fuckin' destroyed our homes?" (4) [Lura] "I-... don't want to talk about that." (3) [Lura] "...I guess I'll go clean up the rocks now..." (2)
Kall and Lura greet each other		0.15	Kall, Lura	[Lura] "Hey, Kall!  How've you been?" (3) [Kall] "I've been worse." (2) [Kall] "..." (2) [Lura] "..." (2) [Lura] "You're supposed to ask me that question now." (3) [Kall] "Why?" (2) [Lura] "'Cause it's polite!" (4) [Kall] "...Fine.  How are you doing." (1) [Lura] "I'm doing ok, thanks for asking!" (3) [Kall] "..." (2) [Lura] "..." (2)
Aiyo shows Lura a 4-leaf clover		0.15	Aiyo, Lura	[Aiyo] "Hey mom look, I found a four-leaf clover!" (4) [Lura] "Wow, that's amazing Aiyo!  Hold on to it and you'll have good luck all day!" (3) [Aiyo] "Why?" (3) [Lura] "Um... I... It's magic!" (3) [Aiyo] "What's that?" (3) [Lura] "Well it's an... energy present in all living things." (3) [Aiyo] "So I'm magic?" (4) [Lura] "Of course you are!" (4) [Aiyo] "*dances excitedly*" (3) [Aiyo] "Wait, why do I need the four-leaf clover then?" (3) [Lura] "Um... Well..." (2) [Lura] "I'll... explain when you're older." (3)
Aiyo and Snäll talk about shrooms	[fedMushroomPrior]	1	Aiyo, Snäll	[Aiyo] "Yesterday's dinner was good!" (4) [Snäll] "Oh yeah, mushrooms are always tasty!" (3) [Aiyo] "Are those the weird looking vegetables?" (3) [Snäll] "Yeah they do look a bit funny, don't they?" (3) [Aiyo] "They look like little people in hats!" (4) [Snäll] *chuckles* "They do indeed." (3)
Kall is tired		0.15	Aiyo, Kall	[Aiyo] "Why are you so sleepy all the time?" (3) [Kall] "I'm not sleepy." (2) [Aiyo] "But you act sleepy!" (4) [Kall] "..." (2) [Kall] "I'm just... apathetic." (2) [Aiyo] "What does that mean?" (3) [Kall] "..." (2) [Kall] "Ask Lura, I'm sure she knows." (2) [Aiyo] "Ok!  I'll ask Tyst to let you sleep more too." (4) [Kall] "..." (2)
Arg stops Aiyo from throwing rocks		0.15	Arg, Aiyo	[Arg] "Hey kid, Don't throw those rocks around like that.  Someone could get hurt."  (3) [Aiyo] "But I'm just throwing them at that tree over there!" (4) [Arg] "What if someone walks near that tree and it hits them instead?" (4) [Aiyo] "But I'm boooored!" (3) [Arg] "Then do somethin' that doesn't endanger you or the others!" (5) [Aiyo] "Like what?" (3) [Arg] "I dunno..." (3) [Arg] "Go find some more kindling for the fire, there should be some just outside the camp over there." (4) [Aiyo] "But Mom said I can't leave the camp by myself..." (3) [Arg] "..." (3) [Aiyo] "...Could you come with me?" (2) [Arg] "....Fine.  As long as it'll stop you from throwin' those damn rocks around." (3)
Aiyo misses home		0.1	Aiyo, Lura	[Aiyo] "...Mom?" (3) [Lura] "What is it, Aiyo?" (3) [Aiyo] "When can we go back?" (3) [Lura] "Go back where?" (3) [Aiyo] "Home." (3) [Lura] "..." (3) [Aiyo] "Isn't Dad waiting for us there?" (3) [Lura] "..." (3) [Lura] "Not... Not yet... We can't go home yet." (3) [Aiyo] "Why not?" (3) [Lura] "It's... A bad omen." (3)
Kall is cured	[curedKall]	1	Snäll, Kall	[Snäll] "Are you feeling better now?  Did it work?" (4) [Kall] "I guess..." (2) [Snäll] "That's a yes coming from you." (3) [Kall] "It's not like it matters... We lost everything regardless." (2) [Kall] "In the blink of an eye.  The silence took everything." (2) [Snäll] "We didn't lose everything.  We're alive. We can rebuild." (3) [Kall] "...What about Aiyo?" (3) [Snäll] "..." (2) [Kall] "I don't think she truly realizes how much she's lost." (2) [Kall] "And when she does..." (2) [Snäll] "She'll pull through.  She's a strong kid." (3) [Kall] "..." (2)
Lura is not cured due to the food not being blessed	[cureLuraFail]	1	Arg, Lura	[Arg] "The hermit gave you the cure yesterday, right?" (4) [Lura] "Yeah, but I'm not sure I feel any different." (3) [Arg] "Thought so.  You didn't seem like you were actin' any better." (5) [Lura] "To be honest, I wasn't sure this was going to work in the first place." (3) [Lura] "This feels... different from any other sickness I've felt before. Almost mystical in a way." (3) [Arg] "You sure that's not just you?" (4) [Lura] "I'm sure.  There must be something Tyst could do to strengthen the effects of the cure though." (3) [Arg]  "I sure fuckin' hope so.  If not, then I swear to god i'm gonna fuckin-" (5) [Lura] "You worrying about me? *chuckles*  That's new." (3) [Arg] "I-..." (3) [Arg] "..." (2) [Arg] "Tyst better find something.  That's all I'm sayin'." (3)
Arg suprised by Aiyo		0.35	Arg, Aiyo	[Arg] "Damn these fuckin' things..." (3) [Aiyo] "What're you doin'?" (3) [Arg] "Oh sh-... Jeez, you startled me." (5) [Arg] "Just puttin' these stakes back into the ground.  Damn wind loosened these up last night." (4) [Arg] "Almost took my tent with it." (3) [Aiyo] "Oh! Can I help?  Please?" (4) [Arg] "*sigh* Sure kid.  Here.  Keep the tent steady as I hammer these back in." (3) 
Kall and Lura talk about rain	[isRaining]	0.5	Kall, Lura	[Lura] "Rain is wonderful!  Wouldn't you agree?" (3) [Kall] "Not really." (2) [Lura] "Why not?  It's a sign of life and renewal!" (4) [Kall] "...Ok." (2) [Lura] "'Rain washes away perfections, revealing the jewel within.'  Didn't your parents teach you that?" (3) [Kall] "No." (2) [Lura] "What do you see rain as, then?  Some disastrous, negative force of nature?  Some mild annoyance?" (4) [Kall] "Rain is rain." (2) 
Snall And Aiyo talk about sun	[isSunny]	0.5	Snäll, Aiyo	[Snäll] "It's quite a nice day outside today, isn't it?" (3) [Aiyo] "Hooray!  The sun isn't too shy today!" (4) [Snäll] "What do you mean by that?" (3) [Aiyo] "Some days, the sun seems too shy to come out, so it hides behind the clouds!" (4) [Snäll] "Really?  What made the sun come out today then?" (4) [Aiyo] "It comes out to play with the moon!  They like to chase each other around when the sun isn't so shy." (3) [Snäll] "*chuckles* I'm sure they have lots of fun." (2)
Arg and Kall talk about sun	[isSunny]	0.5	Arg, Kall	[Arg] "Damn, the sun's fuckin' beatin' down hard today." (4) [Kall] "Yeah." (2) [Arg] "How is Aiyo able to run around so much in this fuckin' heat?  I can barely walk without gettin' all sweaty." (3) [Kall] "Kids have lots of energy, I guess..." (2) [Arg] "Lura really needs to make her a sun hat.  There's no way its safe for her to be out in the sun that fuckin' long." (3) [Kall] "...Why don't you make it yourself?  You know how to." (2) [Arg] "..." (3) [Arg] "Fuck it. I guess if something's gotta be done, might as well do it yourself." (4) 
Lura is cured	[curedLura]	1	Lura, Kall	[Lura] "I'm actually feeling a bit better today!  I think Tyst's cure worked!" (4) [Kall] "...That's good." (2) [Lura] "You know, we really ought to thank them for doing this for us!" (3) [Kall] "Maybe..." (2) [Lura] "You're good at weaving, right?  I thought I remembered Snall mentioning that." (3) [Kall] "..." (2) [Lura] "Would you mind helping me make them a sun hat? With all the walking they do outside they must get blinded by the sun a lot." (3) [Kall] "..." (2) [Kall] "...Fine." (2) 